"# BBC Backstage world weather locations, as of 2 Nov 2008",,,,,
"# city, country, latitude, longtitude, observation feed, forecast feed",,,,,
DAR ES SALAAM, TANZANIA,-6.87,39.2,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/120.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/120.xml
FUERTEVENTURA, SPAIN,28.45,-13.87,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/121.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/121.xml
HARARE, ZIMBABWE,-17.83,31.02,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/122.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/122.xml
KHARTOUM, SUDAN,15.6,32.55,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/123.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/123.xml
LUXOR, EGYPT,25.67,32.7,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/124.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/124.xml
KINSHASA, CONGO DEMOCRATIC REPUBLIC OF,-4.25,15.25,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/125.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/125.xml
MARRAKECH, MOROCCO,30.33,-9.4,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/126.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/126.xml
MOMBASA, KENYA,-4.03,39.62,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/127.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/127.xml
MONASTIR, TUNISIA,35.67,10.75,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/128.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/128.xml
NAIROBI, KENYA,-0.27,36.1,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/129.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/129.xml
OUJDA, MOROCCO,34.78,-1.93,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/130.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/130.xml
